date,ticker,close_price
2024-03-18,GEAR,27.78
2024-03-18,GGOV,14.02
2024-03-18,CYBR,11.81
2024-03-18,NDQ,41.33
2024-03-19,A123,129.45
2024-03-19,AAA,50.20
2024-03-19,BBOZ,2.92
2024-03-19,BGBL,62.93
2024-03-19,ETHI,14.88
2024-03-19,GEAR,27.96
2024-03-19,CYBR,11.79
2024-03-19,NDQ,41.65
2024-03-19,GGOV,14.00
2024-03-20,A123,129.26
2024-03-20,AAA,50.19
2024-03-20,BBOZ,2.94
2024-03-20,BGBL,63.25
2024-03-20,ETHI,14.94
2024-03-20,GEAR,27.88
2024-03-20,GGOV,14.01
2024-03-20,CYBR,11.73
2024-03-20,NDQ,41.80
2024-03-21,A123,130.83
2024-03-21,AAA,50.21
2024-03-21,BBOZ,2.86
2024-03-21,BGBL,63.28
2024-03-21,ETHI,14.98
2024-03-21,GEAR,28.60
2024-03-21,GGOV,14.02
2024-03-21,CYBR,11.77
2024-03-21,NDQ,42.06
2024-03-22,A123,130.50
2024-03-22,AAA,50.21
2024-03-22,BBOZ,2.87
2024-03-22,BGBL,64.05
2024-03-22,ETHI,15.22
2024-03-22,GEAR,28.44
2024-03-22,GGOV,14.11
2024-03-22,CYBR,11.97
2024-03-22,NDQ,42.60
2024-03-25,A123,131.34
2024-03-25,AAA,50.23
2024-03-25,BBOZ,2.84
2024-03-25,BGBL,63.88
2024-03-25,ETHI,15.15
2024-03-25,GEAR,28.83
2024-03-25,GGOV,14.16
2024-03-25,HACK,11.83
2024-03-25,NDQ,42.59
2024-03-26,A123,130.89
2024-03-26,AAA,50.24
2024-03-26,BBOZ,2.86
2024-03-26,BGBL,63.67
2024-03-26,ETHI,15.13
2024-03-26,GEAR,28.54
2024-03-26,GGOV,14.11
2024-03-26,HACK,11.78
2024-03-26,NDQ,42.45
2024-03-27,A123,131.46
2024-03-27,AAA,50.25
2024-03-27,BBOZ,2.83
2024-03-27,BGBL,63.92
2024-03-27,ETHI,15.16
2024-03-27,GEAR,28.83
2024-03-27,GGOV,14.12
2024-03-27,HACK,11.87
2024-03-27,NDQ,42.49
2024-03-28,A123,132.74
2024-03-28,AAA,50.26
2024-03-28,BBOZ,2.77
2024-03-28,BGBL,64.10
2024-03-28,ETHI,15.15
2024-03-28,GEAR,29.44
2024-03-28,GGOV,14.22
2024-03-28,HACK,11.78
2024-03-28,NDQ,42.48
2024-04-02,A123,131.46
2024-04-02,AAA,50.10
2024-04-02,BBOZ,2.77
2024-04-02,BGBL,64.17
2024-04-02,ETHI,15.11
2024-04-02,GEAR,29.33
2024-04-02,GGOV,13.92
2024-04-02,HACK,11.90
2024-04-02,NDQ,42.68
2024-04-03,A123,129.78
2024-04-03,AAA,50.11
2024-04-03,BBOZ,2.87
2024-04-03,BGBL,63.49
2024-04-03,ETHI,14.85
2024-04-03,GEAR,28.48
2024-04-03,GGOV,13.83
2024-04-03,HACK,11.72
2024-04-03,NDQ,42.09
2024-04-04,A123,130.41
2024-04-04,AAA,50.12
2024-04-04,BBOZ,2.84
2024-04-04,BGBL,63.33
2024-04-04,ETHI,14.80
2024-04-04,GEAR,28.80
2024-04-04,GGOV,13.78
2024-04-04,HACK,11.70
2024-04-04,NDQ,42.02
2024-04-05,A123,129.59
2024-04-05,AAA,50.13
2024-04-05,BBOZ,2.88
2024-04-05,BGBL,62.50
2024-04-05,ETHI,14.58
2024-04-05,GEAR,28.43
2024-04-05,GGOV,13.90
2024-04-05,HACK,11.51
2024-04-05,NDQ,41.34
2024-04-08,A123,129.90
2024-04-08,AAA,50.15
2024-04-08,BBOZ,2.87
2024-04-08,BGBL,62.99
2024-04-08,ETHI,14.68
2024-04-08,GEAR,28.55
2024-04-08,GGOV,13.67
2024-04-08,HACK,11.61
2024-04-08,NDQ,41.71
2024-04-09,A123,130.47
2024-04-09,AAA,50.14
2024-04-09,BBOZ,2.84
2024-04-09,BGBL,62.91
2024-04-09,ETHI,14.66
2024-04-09,GEAR,28.80
2024-04-09,GGOV,13.74
2024-04-09,HACK,11.59
2024-04-09,NDQ,41.57
2024-04-10,A123,130.90
2024-04-10,AAA,50.16
2024-04-10,BBOZ,2.82
2024-04-10,BGBL,62.85
2024-04-10,ETHI,14.62
2024-04-10,GEAR,28.97
2024-04-10,GGOV,13.86
2024-04-10,HACK,11.61
2024-04-10,NDQ,41.66
2024-04-11,A123,130.20
2024-04-11,AAA,50.16
2024-04-11,BBOZ,2.86
